"","Date","Ticker","Price"
"1111",20110531,"MSFT",25.01
"1112",20110601,"MSFT",24.43
"1113",20110602,"MSFT",24.22
"1114",20110603,"MSFT",23.905
"1115",20110606,"MSFT",24.01
"1116",20110607,"MSFT",24.06
"1117",20110608,"MSFT",23.94
"1118",20110609,"MSFT",23.96
"1119",20110610,"MSFT",23.705
"1120",20110613,"MSFT",24.04
"1121",20110614,"MSFT",24.22
"1122",20110615,"MSFT",23.74
"1123",20110616,"MSFT",23.995
"1124",20110617,"MSFT",24.26
"1125",20110620,"MSFT",24.47
"1126",20110621,"MSFT",24.76
"1127",20110622,"MSFT",24.65
"1128",20110623,"MSFT",24.63
"1129",20110624,"MSFT",24.3
"1130",20110627,"MSFT",25.2
"1131",20110628,"MSFT",25.8
"1132",20110629,"MSFT",25.62
"1133",20110630,"MSFT",26
"1134",20110701,"MSFT",26.02
"1135",20110705,"MSFT",26.03
"1136",20110706,"MSFT",26.33
"1137",20110707,"MSFT",26.77
"1138",20110708,"MSFT",26.92
"1139",20110711,"MSFT",26.63
"1140",20110712,"MSFT",26.54
"1141",20110713,"MSFT",26.63
"1142",20110714,"MSFT",26.47
"1143",20110715,"MSFT",26.78
"1144",20110718,"MSFT",26.59
"1145",20110719,"MSFT",27.54
"1146",20110720,"MSFT",27.06
"1147",20110721,"MSFT",27.095
"1148",20110722,"MSFT",27.53
"1149",20110725,"MSFT",27.91
"1150",20110726,"MSFT",28.08
"1151",20110727,"MSFT",27.33
"1152",20110728,"MSFT",27.72
"1153",20110729,"MSFT",27.4
"1154",20110801,"MSFT",27.27
"1155",20110802,"MSFT",26.8
"1156",20110803,"MSFT",26.92
"1157",20110804,"MSFT",25.94
"1158",20110805,"MSFT",25.68
"1159",20110808,"MSFT",24.48
"1160",20110809,"MSFT",25.58
"1161",20110810,"MSFT",24.2
"1162",20110811,"MSFT",25.19
"1163",20110812,"MSFT",25.1
"1164",20110815,"MSFT",25.51
"1165",20110816,"MSFT",25.35
"1166",20110817,"MSFT",25.245
"1167",20110818,"MSFT",24.67
"1168",20110819,"MSFT",24.05
"1169",20110822,"MSFT",23.98
"1170",20110823,"MSFT",24.72
"1171",20110824,"MSFT",24.9
"1172",20110825,"MSFT",24.57
"1173",20110826,"MSFT",25.25
"1174",20110829,"MSFT",25.84
"1175",20110830,"MSFT",26.23
"1176",20110831,"MSFT",26.6
"1177",20110901,"MSFT",26.21
"1178",20110902,"MSFT",25.8
"1179",20110906,"MSFT",25.51
"1180",20110907,"MSFT",26
"1181",20110908,"MSFT",26.22
"1182",20110909,"MSFT",25.74
"1183",20110912,"MSFT",25.89
"1184",20110913,"MSFT",26.04
"1185",20110914,"MSFT",26.5
"1186",20110915,"MSFT",26.99
"1187",20110916,"MSFT",27.12
"1188",20110919,"MSFT",27.21
"1189",20110920,"MSFT",26.98
"1190",20110921,"MSFT",25.99
"1191",20110922,"MSFT",25.06
"1192",20110923,"MSFT",25.06
"1193",20110926,"MSFT",25.44
"1194",20110927,"MSFT",25.67
"1195",20110928,"MSFT",25.575
"1196",20110929,"MSFT",25.45
"1197",20110930,"MSFT",24.89
"1198",20111003,"MSFT",24.53
"1199",20111004,"MSFT",25.34
"1200",20111005,"MSFT",25.89
"1201",20111006,"MSFT",26.34
"1202",20111007,"MSFT",26.25
"1203",20111010,"MSFT",26.94
"1204",20111011,"MSFT",27
"1205",20111012,"MSFT",26.96
"1206",20111013,"MSFT",27.18
"1207",20111014,"MSFT",27.27
"1208",20111017,"MSFT",26.98
"1209",20111018,"MSFT",27.31
"1210",20111019,"MSFT",27.13
"1211",20111020,"MSFT",27.04
"1212",20111021,"MSFT",27.16
"1213",20111024,"MSFT",27.19
"1214",20111025,"MSFT",26.81
"1215",20111026,"MSFT",26.59
"1216",20111027,"MSFT",27.25
"1217",20111028,"MSFT",26.98
"1218",20111031,"MSFT",26.63
"1219",20111101,"MSFT",25.99
"1220",20111102,"MSFT",26.01
"1221",20111103,"MSFT",26.53
"1222",20111104,"MSFT",26.25
"1223",20111107,"MSFT",26.8
"1224",20111108,"MSFT",27.16
"1225",20111109,"MSFT",26.2
"1226",20111110,"MSFT",26.28
"1227",20111111,"MSFT",26.91
"1228",20111114,"MSFT",26.76
"1229",20111115,"MSFT",26.74
"1230",20111116,"MSFT",26.07
"1231",20111117,"MSFT",25.54
"1232",20111118,"MSFT",25.3
"1233",20111121,"MSFT",25
"1234",20111122,"MSFT",24.79
"1235",20111123,"MSFT",24.47
"1236",20111125,"MSFT",24.3
"1237",20111128,"MSFT",24.87
"1238",20111129,"MSFT",24.84
"1239",20111130,"MSFT",25.58
"1240",20111201,"MSFT",25.28
"1241",20111202,"MSFT",25.22
"1242",20111205,"MSFT",25.7
"1243",20111206,"MSFT",25.66
"1244",20111207,"MSFT",25.6
"1245",20111208,"MSFT",25.4
"1246",20111209,"MSFT",25.7
"1247",20111212,"MSFT",25.51
"1248",20111213,"MSFT",25.76
"1249",20111214,"MSFT",25.59
"1250",20111215,"MSFT",25.56
"1251",20111216,"MSFT",26
"1252",20111219,"MSFT",25.53
"1253",20111220,"MSFT",26.025
"1254",20111221,"MSFT",25.76
"1255",20111222,"MSFT",25.81
"1256",20111223,"MSFT",26.03
"1257",20111227,"MSFT",26.04
"1258",20111228,"MSFT",25.82
"1259",20111229,"MSFT",26.02
"1260",20111230,"MSFT",25.96
