PERMNO,date,Ticker,Price,Shares_outstanding,Stock_return,SP_Return,marketcap,beta
91787,2013-10-31,USD,47.9,600,0.088634,0.044596,28740.0,0.7895267643903419
91787,2013-11-29,USD,48.0,600,0.002088,0.028049,28800.0,0.7895267643903419
91787,2013-12-31,USD,53.34,600,0.11125,0.023563,32004.000000000004,0.7895267643903419
91787,2014-01-31,USD,51.15,600,-0.041057,-0.035583,30690.0,0.7895267643903419
91787,2014-02-28,USD,57.18,525,0.117889,0.043117,30019.5,0.7895267643903419
91787,2014-03-31,USD,61.2,450,0.070304,0.006932,27540.0,0.7895267643903419
91787,2014-04-30,USD,59.58,450,-0.026471,0.006201,26811.0,0.7895267643903419
91787,2014-05-30,USD,64.61,450,0.084424,0.02103,29074.5,0.7895267643903419
91787,2014-06-30,USD,76.33,450,0.181396,0.019058,34348.5,0.7895267643903419
91787,2014-07-31,USD,75.23,450,-0.014411,-0.01508,33853.5,0.7895267643903419
91787,2014-08-29,USD,84.3318,525,0.120986,0.037655,44274.195,0.7895267643903419
91787,2014-09-30,USD,83.15,525,-0.014014,-0.015514,43653.75,0.7895267643903419
91787,2014-10-31,USD,81.17,475,-0.023812,0.023201,38555.75,0.7895267643903419
91787,2014-11-28,USD,95.5899,475,0.177651,0.024534,45405.2025,0.7895267643903419
91787,2014-12-31,USD,94.02,475,-0.016423,-0.004189,44659.5,0.7895267643903419
91787,2015-01-30,USD,84.01,475,-0.106467,-0.031041,39904.75,0.7895267643903419
91787,2015-02-27,USD,96.4701,425,0.148317,0.054893,40999.7925,0.7895267643903419
91787,2015-03-31,USD,89.2064,425,-0.075295,-0.017396,37912.72,0.7895267643903419
91787,2015-04-30,USD,86.56,375,-0.029666,0.008521,32460.0,0.7895267643903419
91787,2015-05-29,USD,103.149,375,0.191647,0.010491,38680.875,0.7895267643903419
91787,2015-06-30,USD,84.75,325,-0.178373,-0.021012,27543.75,0.7895267643903419
91787,2015-07-31,USD,74.94,325,-0.115752,0.019742,24355.5,0.7895267643903419
91787,2015-08-31,USD,69.37,325,-0.074326,-0.062581,22545.25,0.7895267643903419
91787,2015-09-30,USD,69.078,325,-0.004209,-0.026443,22450.350000000002,0.7895267643903419
91787,2015-10-30,USD,82.83,300,0.199079,0.082983,24849.0,0.7895267643903419
91787,2015-11-30,USD,89.7,300,0.082941,5.05e-4,26910.0,0.7895267643903419
91787,2015-12-31,USD,86.62,325,-0.034337,-0.01753,28151.5,0.7895267643903419
17830,2010-01-29,UTX,67.48,937539,-0.027806,-0.036974,63265131.720000006,0.7895267643903419
17830,2010-02-26,UTX,68.65,937400,0.017338,0.028514,64352510.00000001,0.7895267643903419
17830,2010-03-31,UTX,73.61,936414,0.072251,0.058796,68929434.54,0.7895267643903419
17830,2010-04-30,UTX,74.95,933080,0.018204,0.014759,69934346.0,0.7895267643903419
17830,2010-05-28,UTX,67.38,933080,-0.101001,-0.081976,62870930.4,0.7895267643903419
17830,2010-06-30,UTX,64.91,933080,-0.036658,-0.053882,60566222.8,0.7895267643903419
17830,2010-07-30,UTX,71.1,929070,0.095363,0.068778,66056876.99999999,0.7895267643903419
17830,2010-08-31,UTX,65.21,929070,-0.082841,-0.047449,60584654.699999996,0.7895267643903419
17830,2010-09-30,UTX,71.23,929070,0.092317,0.087551,66177656.1,0.7895267643903419
17830,2010-10-29,UTX,74.77,923407,0.049698,0.036856,69043141.39,0.7895267643903419
17830,2010-11-30,UTX,75.27,923407,0.006687,-0.00229,69504844.89,0.7895267643903419
17830,2010-12-31,UTX,78.72,923407,0.045835,0.0653,72690599.03999999,0.7895267643903419
17830,2011-01-31,UTX,81.3,923407,0.032774,0.022646,75072989.1,0.7895267643903419
17830,2011-02-28,UTX,83.54,921194,0.027552,0.031957,76956546.76,0.7895267643903419
17830,2011-03-31,UTX,84.65,921194,0.013287,-0.001047,77979072.10000001,0.7895267643903419
17830,2011-04-29,UTX,89.58,915262,0.05824,0.028495,81989169.96,0.7895267643903419
17830,2011-05-31,UTX,87.77,915262,-0.020205,-0.013501,80332545.74,0.7895267643903419
17830,2011-06-30,UTX,88.51,915262,0.008431,-0.018258,81009839.62,0.7895267643903419
17830,2011-07-29,UTX,82.84,908713,-0.064061,-0.021474,75277784.92,0.7895267643903419
17830,2011-08-31,UTX,74.25,908713,-0.103694,-0.056791,67471940.25,0.7895267643903419
17830,2011-09-30,UTX,70.36,908713,-0.052391,-0.071762,63937046.68,0.7895267643903419
17830,2011-10-31,UTX,77.98,906088,0.1083,0.107723,70656742.24000001,0.7895267643903419
17830,2011-11-30,UTX,76.6,906088,-0.017697,-0.005059,69406340.8,0.7895267643903419
17830,2011-12-30,UTX,73.09,906088,-0.045822,0.008533,66225971.92,0.7895267643903419
17830,2012-01-31,UTX,78.35,906088,0.071966,0.043583,70991994.8,0.7895267643903419
17830,2012-02-29,UTX,83.87,910162,0.070453,0.040589,76335286.94,0.7895267643903419
17830,2012-03-30,UTX,82.94,910162,-0.011089,0.031332,75488836.28,0.7895267643903419
17830,2012-04-30,UTX,81.64,911358,-0.015674,-0.007497,74403267.12,0.7895267643903419
17830,2012-05-31,UTX,74.11,911358,-0.092234,-0.062651,67540741.38,0.7895267643903419
17830,2012-06-29,UTX,75.53,911358,0.019161,0.039555,68834869.74,0.7895267643903419
17830,2012-07-31,UTX,74.44,911787,-0.014431,0.012598,67873424.28,0.7895267643903419
17830,2012-08-31,UTX,79.85,911787,0.072676,0.019763,72806191.94999999,0.7895267643903419
17830,2012-09-28,UTX,78.29,911787,-0.019537,0.024236,71383804.23,0.7895267643903419
17830,2012-10-31,UTX,78.16,916545,-0.00166,-0.019789,71637157.2,0.7895267643903419
17830,2012-11-30,UTX,80.11,916545,0.024949,0.002847,73424419.95,0.7895267643903419
17830,2012-12-31,UTX,82.01,916545,0.023717,0.007068,75165855.45,0.7895267643903419
17830,2013-01-31,UTX,87.57,916545,0.067797,0.050428,80261845.64999999,0.7895267643903419
17830,2013-02-28,UTX,90.55,916640,0.03403,0.011061,83001752.0,0.7895267643903419
17830,2013-03-28,UTX,93.43,918263,0.031806,0.035988,85793312.09,0.7895267643903419
17830,2013-04-30,UTX,91.29,919301,-0.022905,0.018086,83922988.29,0.7895267643903419
17830,2013-05-31,UTX,94.9,919301,0.039544,0.020763,87241664.9,0.7895267643903419
17830,2013-06-28,UTX,92.94,919301,-0.020653,-0.014999,85439834.94,0.7895267643903419
17830,2013-07-31,UTX,105.57,917509,0.135894,0.049462,96861425.13,0.7895267643903419
17830,2013-08-30,UTX,100.1,917509,-0.051814,-0.031298,91842650.89999999,0.7895267643903419
17830,2013-09-30,UTX,107.82,917509,0.077123,0.029749,98925820.38,0.7895267643903419
17830,2013-10-31,UTX,106.25,917582,-0.014561,0.044596,97493087.5,0.7895267643903419
17830,2013-11-29,UTX,110.86,917582,0.043388,0.028049,101723140.52,0.7895267643903419
17830,2013-12-31,UTX,113.8,917582,0.02652,0.023563,104420831.6,0.7895267643903419
17830,2014-01-31,UTX,114.02,917582,0.001933,-0.035583,104622699.64,0.7895267643903419
17830,2014-02-28,UTX,117.02,915236,0.026311,0.043117,107100916.72,0.7895267643903419
17830,2014-03-31,UTX,116.84,916444,-0.001538,0.006932,107077316.96000001,0.7895267643903419
17830,2014-04-30,UTX,118.33,916731,0.012753,0.006201,108476779.23,0.7895267643903419
17830,2014-05-30,UTX,116.22,916731,-0.017831,0.02103,106542476.82,0.7895267643903419
17830,2014-06-30,UTX,115.45,916731,-0.006625,0.019058,105836593.95,0.7895267643903419
17830,2014-07-31,UTX,105.15,914810,-0.089216,-0.01508,96192271.5,0.7895267643903419
17830,2014-08-29,UTX,107.98,914810,0.026914,0.037655,98781183.8,0.7895267643903419
17830,2014-09-30,UTX,105.6,914810,-0.022041,-0.015514,96603936.0,0.7895267643903419
17830,2014-10-31,UTX,107.0,911658,0.013258,0.023201,97547406.0,0.7895267643903419
